item,itemLabel,position,positionLabel,start,psid
Q100258645,Nayef Al-Fayez,Q110066878,Minister of Tourism and Antiquities,2020-10-12,Q100258645-CBECF359-6C4F-4A41-9B6D-2B61F29BBBEC
Q105954588,Mazen Al-Farrayah,Q110065338,Minister of the Interior,2021-03-07,Q105954588-8e32e537-4453-f6ba-1bd8-159f5ea73aa3
Q109257176,Ibrahim Jazi,Q110067963,Minister of State for Prime Ministry Affairs,2020-10-12,Q109257176-D2C02973-14DB-49B9-BF19-1B6E0812E110
Q110065359,Wajih Azaizeh,Q110065361,Minister of Transport,2021-03-07,Q110065359-13DB2BF5-2B90-4D78-A624-6332DDA8FA3E
Q110065393,Mohammed Al Najjar,Q110065394,Minister of Water and Irrigation,2021-03-07,Q110065393-90C48730-CD72-449F-8290-4DFED6BF5392
Q110065420,Khaled Musa Al Henefat,Q106785048,Minister of Agriculture of Jordan,2021-03-07,Q110065420-D48E6B0E-B864-459C-939D-23C8E1168B18
Q110065429,Wajih Owais,Q110065430,Minister of Higher Education and Scientific Research,2021-10-11,Q110065429-EE092FB8-D996-4F20-B9F9-3C4F2A2B2ADA
Q110066264,Saleh Ali Hamed Al-Kharabsheh,Q110066267,Minister of Energy and Mineral Resources,2021-10-11,Q110066264-E54CFAB5-DD01-4DD6-AB38-75F28DAF7844
Q110066321,Yousef Alshamali,Q110066325,Minister of Industry and Trade And Supply,2021-10-11,Q110066321-D9C84A52-EA8F-4067-9719-5E13D1082CD6
Q110066500,Nayef ZakariyaStetieh,Q110066504,Minister of Labour,2021-10-11,Q110066500-49298A09-B336-4EA5-8B92-6DD031B8D231
Q110066642,Muawieh Khalid Radaideh,Q110066643,Minister of Environment,2021-10-12,Q110066642-903C7002-EAEA-4B77-88D3-D3A504E11174
Q110066807,Khairy Yasser Abdel Moneim Amr,Q110066808,Minister of Investment,2021-10-11,Q110066807-1DD0D7C2-16DD-4BE9-B8E6-02B5BF816BF6
Q110067105,Mohammad F. Nabulsi,Q110067108,Minister of Youth,2020-10-12,Q110067105-432749F5-5ED3-4AB9-95C9-B3329B9A6F6E
Q110067351,Feras Tbrahim Hawari,Q110067245,Minister of Health,2021-03-29,Q110067351-4ED5B381-7F15-4B5C-97B7-507F86ADDAC9
Q110067596,Ayman Riad Saeid Almuflih,Q58335451,Minister of Social Development of Jordan,2020-10-12,Q110067596-E62EF79A-4AEF-4520-A16E-9920E7DD9910
Q110067665,Ahmed Nouri Ziadat,Q110067612,Minister of Justice,2021-03-08,Q110067665-00A7ED90-716D-463D-B2FB-2E432C21994C
Q110067674,Ahmad Hanandeh,Q110067675,Minister of Digital Economy and Entrepreneurship,2020-10-12,Q110067674-F29E20D5-D471-4024-AED7-EF510A30AEE1
Q110067972,Nawaf Wasfi Tall,Q110067973,Minister of State for Follow-up and Government Coordination,2020-10-12,Q110067972-38C5FAB4-E9D6-4189-AD36-E0D65442CFE2
Q110067984,Faisal Shboul,Q55498292,Jordan's Minister of State for Media Affairs,2021-10-11,Q110067984-E96ADF68-358E-4F5B-9229-128DEEEDE558
Q110068000,Wafaa Saeed Yaqoub Bani Mustafa,Q110068001,Minister of State for Legal Affairs,2021-10-11,Q110068000-67D61DA2-79EB-4EA0-99B7-16C4B0C99A2C
Q28716169,Mohammad Khalaileh,Q110066975,"Minister of Awqaf, Islamic Affairs, and Holy Places",2020-10-12,Q28716169-53624C03-166C-4A41-AB54-90AB0F4C9F4D
Q54861811,Mohamad Al-Ississ,Q110067022,Minister of Finance,2020-10-12,Q54861811-FC4B0990-0BCC-4F1B-8FF9-43EE8456D7A9
Q54875250,Haifa Najjar,Q58488702,Minister of Culture of Jordan,2021-10-11,Q54875250-AC9F5EFF-4E9E-419A-AC28-E41CA12471A6
Q63441935,Bisher Al-Khasawneh,Q7243300,Prime Minister of Jordan,2020-10-07,Q63441935-a564face-4321-f3a4-dcf3-0fd6f609c3fa
Q6754063,Tawfiq Kreishan,Q110066853,Minister of of Local Administration,2020-10-12,Q6754063-25057C0E-094A-48F2-A772-7C9D77E406C8
Q6754063,Tawfiq Kreishan,Q110066895,Minister of Political and Parliamentary Affairs,2022-04-05,Q6754063-E08B19F3-1C07-4840-85CD-08DE90D42B70
Q89028293,Yahya Musa Kisbi,Q105620514,Minister of Public Works and Housing of Jordan,2020-10-12,Q89028293-55B9449F-6B9D-4B25-BADB-38E659AED308
Q98382657,Nasser Shraideh,Q110066910,Minister of Planning and International Cooperation,2020-10-12,Q98382657-885FCFE0-2E28-4BF6-9CDA-9F67AD57000C
